ID,AverageFiberLength,OrientationX,OrientationY,OrientationZ,AverageConnectivityWITHBoundary,AverageConnectivityWITHOUTBoundary,StrenghX,StrengthY,StrengthZ,ToughnessX,ToughnessY,ToughnessZ,Density,Sample1,Sample2,Ratio1,Ratio2,qSimx,qSimy,qSimz,AverageStrength,AverageToughness,dir
56,0.003131635,0.404898996,0.278246896,0.316854108,2.870528109,3.08583691,23.96880342,15.10793244,13.47470491,46.61456406,38.20028177,40.73255078,0.00030082,1,2,0.6,0.6,166,167,168,17.51714692,41.8491322,./WebNet_Mar6/All_Data/s1s2_Ratio_60_60
57,0.003200395,0.411614744,0.276774127,0.311611129,2.884955752,3.083923155,25.02538494,13.43640315,12.73405173,49.35284379,37.5086259,38.60799152,0.000298906,1,2,0.6,0.7,169,170,171,17.06527994,41.82315374,./WebNet_Mar6/All_Data/s1s2_Ratio_60_70
58,0.0032664,0.416273171,0.273352773,0.310374056,2.893129771,3.083015267,24.17208456,11.71849834,13.71632577,44.07966511,35.31310367,41.26018251,0.000296817,1,2,0.6,0.8,172,173,174,16.53563622,40.21765043,./WebNet_Mar6/All_Data/s1s2_Ratio_60_80
59,0.003316402,0.416466189,0.275508116,0.308025695,2.894391843,3.081967213,23.54081287,12.09624271,12.63185376,43.58221741,32.57858095,36.1298197,0.000289785,1,2,0.6,0.9,175,176,177,16.08963645,37.43020602,./WebNet_Mar6/All_Data/s1s2_Ratio_60_90
60,0.003326101,0.413888227,0.276996979,0.309114794,2.910354413,3.083035714,24.0420231,12.53320199,12.50072065,43.09459162,29.02310544,34.48727016,0.000284764,1,2,0.6,1,178,179,180,16.35864858,35.53498907,./WebNet_Mar6/All_Data/s1s2_Ratio_60_100
61,0.003079934,0.382739089,0.277494731,0.33976618,2.8,3.098468271,23.92990074,12.644029,14.29382952,29.58050979,34.86687566,33.61821976,0.000258375,1,2,0.7,0.1,181,182,183,16.95591975,32.68853507,./WebNet_Mar6/All_Data/s1s2_Ratio_70_10
62,0.003122359,0.390984972,0.282019673,0.326995354,2.79943101,3.094517958,23.7492893,12.45039505,12.82966512,34.6772993,35.35872715,32.22251167,0.000258811,1,2,0.7,0.2,184,185,186,16.34311649,34.08617938,./WebNet_Mar6/All_Data/s1s2_Ratio_70_20
63,0.003090338,0.391131134,0.280092826,0.32877604,2.81786134,3.098765432,22.91746958,12.80675093,12.71496833,35.95391625,36.69911301,34.84384043,0.000269451,1,2,0.7,0.3,187,188,189,16.14639628,35.8322899,./WebNet_Mar6/All_Data/s1s2_Ratio_70_30
64,0.003170776,0.40197025,0.276482781,0.321546968,2.839872747,3.09400545,24.48330053,11.99340573,14.0144171,44.13276077,32.28469182,36.15548028,0.000273171,1,2,0.7,0.4,190,191,192,16.83037446,37.52431096,./WebNet_Mar6/All_Data/s1s2_Ratio_70_40
65,0.003169524,0.408044399,0.275674151,0.31628145,2.853107345,3.083732057,23.63578173,13.9552667,12.27849355,43.61372266,31.73988028,35.26243798,0.000279201,1,2,0.7,0.5,193,194,195,16.62318066,36.87201364,./WebNet_Mar6/All_Data/s1s2_Ratio_70_50
66,0.003167158,0.406273484,0.274594946,0.319131569,2.871021776,3.085805085,23.08908397,14.14303566,12.8236005,47.72003404,36.49732369,38.58434202,0.000287912,1,2,0.7,0.6,196,197,198,16.68524004,40.93389991,./WebNet_Mar6/All_Data/s1s2_Ratio_70_60
67,0.003232717,0.412708565,0.273446253,0.313845182,2.885193983,3.083916084,24.38616939,12.48829466,12.68146975,47.62343467,36.12906075,35.01648691,0.000287163,1,2,0.7,0.7,199,200,201,16.5186446,39.58966078,./WebNet_Mar6/All_Data/s1s2_Ratio_70_70
68,0.003296014,0.417177671,0.270343692,0.312478637,2.893233083,3.083018868,23.62222168,11.34199864,12.79669533,43.58802807,33.49004359,36.68538246,0.000286076,1,2,0.7,0.8,202,203,204,15.92030521,37.92115137,./WebNet_Mar6/All_Data/s1s2_Ratio_70_80
69,0.003343945,0.417312696,0.272629015,0.31005829,2.894472362,3.081981982,23.04025726,11.25989177,12.82815898,44.73688105,30.08449229,35.95501948,0.000280114,1,2,0.7,0.9,205,206,207,15.709436,36.92546427,./WebNet_Mar6/All_Data/s1s2_Ratio_70_90
70,0.003352124,0.414745063,0.274237918,0.311017019,2.910212474,3.083038869,22.94651463,11.72984839,12.55262227,42.86337059,27.56317888,35.92047167,0.000275969,1,2,0.7,1,208,209,210,15.7429951,35.44900705,./WebNet_Mar6/All_Data/s1s2_Ratio_70_100
71,0.003075939,0.387027188,0.272377647,0.340595165,2.8125,3.098121086,19.29155828,13.19635487,13.85400067,25.81630115,29.77927042,32.83130773,0.000239927,1,2,0.8,0.1,211,212,213,15.44730461,29.47562643,./WebNet_Mar6/All_Data/s1s2_Ratio_80_10
72,0.003117226,0.394406226,0.277412127,0.328181647,2.81043956,3.094373866,18.35285284,11.46915604,11.94519284,35.00427601,30.29185151,31.61575824,0.000242576,1,2,0.8,0.2,214,215,216,13.92240057,32.30396192,./WebNet_Mar6/All_Data/s1s2_Ratio_80_20
73,0.003087106,0.393981356,0.276307057,0.329711587,2.826484018,3.098507463,19.7987256,12.07368626,11.54911542,35.28768063,37.06197796,34.28185143,0.00025391,1,2,0.8,0.3,217,218,219,14.47384242,35.54383667,./WebNet_Mar6/All_Data/s1s2_Ratio_80_30
74,0.003165596,0.404177876,0.273262395,0.322559728,2.847107438,3.093915344,21.24925406,11.15510338,11.54103361,34.02362595,31.92247722,33.17183142,0.000258799,1,2,0.8,0.4,220,221,222,14.64846368,33.03931153,./WebNet_Mar6/All_Data/s1s2_Ratio_80_40
75,0.003164962,0.409858486,0.272837079,0.317304436,2.85924563,3.083916084,21.36460472,12.71988556,11.91683258,38.50717474,33.03092766,33.5316915,0.000265688,1,2,0.8,0.5,223,224,225,15.33377429,35.02326463,./WebNet_Mar6/All_Data/s1s2_Ratio_80_50
76,0.003163166,0.407919763,0.272101188,0.319979049,2.876127974,3.085921325,21.10290258,12.82207021,13.32012934,45.95443715,33.1021362,37.80402978,0.000274941,1,2,0.8,0.6,226,227,228,15.74836738,38.95353438,./WebNet_Mar6/All_Data/s1s2_Ratio_80_60
77,0.003227583,0.414103519,0.271166383,0.314730098,2.889751553,3.084066471,22.29294689,11.40328078,11.7425095,44.79654816,36.3227855,34.32158061,0.000275221,1,2,0.8,0.7,229,230,231,15.14624572,38.48030476,./WebNet_Mar6/All_Data/s1s2_Ratio_80_70
78,0.00328989,0.418394461,0.268279199,0.31332634,2.897416974,3.083179298,21.87322424,10.21846545,12.67448023,42.71759313,33.30527199,36.75791037,0.000275037,1,2,0.8,0.8,232,233,234,14.92205664,37.59359183,./WebNet_Mar6/All_Data/s1s2_Ratio_80_80
79,0.003337185,0.418456244,0.270646066,0.31089769,2.898448519,3.082155477,21.13642484,10.35930809,12.08216435,43.92181539,31.99289226,35.85239548,0.000270067,1,2,0.8,0.9,235,236,237,14.52596576,37.25570105,./WebNet_Mar6/All_Data/s1s2_Ratio_80_90
80,0.003345551,0.415870661,0.272331903,0.311797436,2.913746631,3.083188908,21.93077561,10.85841971,11.21231047,42.05313811,28.61239178,34.67508152,0.000266739,1,2,0.8,1,238,239,240,14.6671686,35.11353714,./WebNet_Mar6/All_Data/s1s2_Ratio_80_100
81,0.00307804,0.38608192,0.273231159,0.340686921,2.814925373,3.099601594,15.25225061,11.62301711,18.34944203,26.68156216,27.31747638,30.25948778,0.000226532,1,2,0.9,0.1,241,242,243,15.07490325,28.08617544,./WebNet_Mar6/All_Data/s1s2_Ratio_90_10
82,0.00311742,0.393282497,0.27795424,0.328763263,2.812664908,3.095818815,15.56572004,11.52095731,14.92347679,34.39817892,27.89413433,28.32675903,0.000230441,1,2,0.9,0.2,244,245,246,14.00338471,30.20635743,./WebNet_Mar6/All_Data/s1s2_Ratio_90_20
83,0.003088278,0.393051824,0.27679994,0.330148235,2.82781457,3.0995671,16.32862136,10.28147713,13.58411064,34.39536521,31.89278669,34.64590326,0.000241925,1,2,0.9,0.3,247,248,249,13.39806971,33.64468505,./WebNet_Mar6/All_Data/s1s2_Ratio_90_30
84,0.003164277,0.40305562,0.273786949,0.323157431,2.847695391,3.094993582,17.97372001,10.23686265,12.52288543,31.72899701,29.87567635,30.78196659,0.000247481,1,2,0.9,0.4,250,251,252,13.5778227,30.79554665,./WebNet_Mar6/All_Data/s1s2_Ratio_90_40
85,0.003163806,0.408708827,0.273315193,0.317975979,2.859444942,3.085130533,18.31334792,12.20189654,13.89077054,35.17447581,28.57775825,29.50319419,0.000254858,1,2,0.9,0.5,253,254,255,14.802005,31.08514275,./WebNet_Mar6/All_Data/s1s2_Ratio_90_50
